author,img,intro,name,state,type,url
忘语,//bookcover.yuewen.com/qdbimg/349573/107580/150,"一个普通山村小子，偶然下进入到当地江湖小门派，成了一名记名弟子。他以这样身份，如何在门派中立足,如何以平庸的资质进入到修仙者的行列，从而笑傲三界之中！续篇《凡人修仙之仙界篇》已经在起点中文网上传了，欢",凡人修仙传,完本,幻想修仙,//book.qidian.com/info/107580
天子,//bookcover.yuewen.com/qdbimg/349573/3683163/150,看腻了刀光剑影，鼓角争鸣，或者可以品尝一下社会底层草根的艰苦营生。本书讲述的是穿越大明落魄寒门的沈溪，在这个万般皆下品惟有读书高的年代，用他的努力一步步改变命运，终于走上人生巅峰！天子2016历史巨献,寒门状元,连载中,两宋元明,//book.qidian.com/info/3683163
天运老猫,//bookcover.yuewen.com/qdbimg/349573/3471716/150,重头再来，为了掌控命运，再次进入了这款“活着的游戏”。这一次，他不会在受人所制。身为200级剑王，这一世他要攀向更高峰。游戏赚钱技巧！游戏副本攻略！游戏传奇任务！游戏装备出处！玩家所不知的战斗技巧！就,重生之最强剑神,连载中,虚拟网游,//book.qidian.com/info/3471716
乱,//bookcover.yuewen.com/qdbimg/349573/3489766/150,一觉醒来，世界大变。熟悉的高中传授的是魔法，告诉大家要成为一名出色的魔法师。居住的都市之外游荡着袭击人类的魔物妖兽，虎视眈眈。崇尚科学的世界变成了崇尚魔法，偏偏有着一样以学渣看待自己的老师，一样目光异,全职法师,连载中,异世大陆,//book.qidian.com/info/3489766
逆水之叶,//bookcover.yuewen.com/qdbimg/349573/1010463703/150,开在异界的网吧，上网看剧玩游戏某武帝内流满面地在网吧门前大喊：“得入暴雪门，无悔游戏生啊！”某仙子玩完《仙剑奇侠传》在网吧门前哭得稀里哗啦！什么你跟我说异界人没有情怀？方老板默默地掏出了他从《诛仙》中,系统的黑科技网吧,完本,时空穿梭,//book.qidian.com/info/1010463703
Iced子夜,//bookcover.yuewen.com/qdbimg/349573/1011125942/150,【2018最爽吃鸡文】刘子浪，人称浪子刘。当然你们也可以叫他钢琴手，帝国鹰眼，爆破鬼才，战神Vic，绝地狙神。一个在“诸神之战”FPS世界大赛上陨落的国产天才少年，原本不愿再碰FPS游戏的他却意外地接,落地一把98K,连载中,电子竞技,//book.qidian.com/info/1011125942
幸福来敲门,//bookcover.yuewen.com/qdbimg/349573/3541095/150,紫禁城前九重门，百官簪缨南阙来。帽插宫花朝天颜，金殿传胪名声传。十里御街打马过，人称大明状元郎。这是一个现代人在明朝好好读书，天天向上的故事，已有两本两百万字作品完本，人品保证！书友群：164.548,大明文魁,连载中,两宋元明,//book.qidian.com/info/3541095
糖醋于,//bookcover.yuewen.com/qdbimg/349573/1004879785/150,一个闭塞的乡村，半座山，几间房，有人不远千里而来，豪车挤满了山间的小路，因为这里有一个年轻人，一副药可医白骨，活死人！,仙药供应商,连载中,都市生活,//book.qidian.com/info/1004879785
火之高兴,//bookcover.yuewen.com/qdbimg/349573/1004995908/150,恶魔是我的奴仆，邪能是我的力量，暗影与烈焰伴我左右，我是一名术士。一名术士行走在漫威的世界里。（没系统，靠自己吧少年。）欢迎加入漫威世界的术士书友群，群号码：177873494,漫威世界的术士,连载中,现代魔法,//book.qidian.com/info/1004995908
青衫取醉,//bookcover.yuewen.com/qdbimg/349573/1010377389/150,游戏设计师陈陌穿越到点歪了科技树的平行世界，用一款又一款神级游戏颠覆游戏圈的故事。“就以这个时代的游戏设计理念而言，不把整个游戏行业吊起来打那我真是枉受国产免费游戏洗礼了。”——陈陌。书友群：5580,全能游戏设计师,完本,游戏系统,//book.qidian.com/info/1010377389
会做菜的猫,//bookcover.yuewen.com/qdbimg/349573/1003667321/150,“在遥远的东方，存在着一个数次拒绝了米其林三星评价的奇怪小店。那里价格昂贵，一碗配汤蛋炒饭288RMB，哦忘了还有一碟泡菜，但就算是这样也有很多人排队等候。那里不接受预定，只接受本人现场排队，无数人开,美食供应商,连载中,都市生活,//book.qidian.com/info/1003667321
公子不歌,//bookcover.yuewen.com/qdbimg/349573/3681640/150,老牌程序员出身的李牧，被命运一脚踹回了2001年高考的当口，他欣喜的拍拍屁股，起身便踏上了一条注定牛X的道路。重活一回，李牧有他自己的追求，赚钱只是牛X的初级阶段，至于登上时代周刊、制霸IT产业、问鼎,重生完美时代,连载中,都市生活,//book.qidian.com/info/3681640
